Ta_C,Precip_mm,Sw_rad_mj_m2,Date,VPD_kpa
29.2,4.1,20.28,8/28/2023,1.139166667
29.7,0,20.79,8/29/2023,1.33875
31,0,21.93,8/30/2023,1.82125
31.7,0,21.34,8/31/2023,2.04875
32,0,21.21,9/1/2023,2.172916667
31.3,0,21.76,9/2/2023,2.09625
30.5,0,21.68,9/3/2023,1.937916667
31,0,21.78,9/4/2023,1.970416667
31.3,0,20.96,9/5/2023,2.022083333
31.7,0,20.96,9/6/2023,2.151666667
32.3,0,21.47,9/7/2023,2.35875
32.1,0,20.87,9/8/2023,2.357916667
31.6,0,20.73,9/9/2023,1.955
31.1,0.1,20.16,9/10/2023,1.639583333
31,0,19.94,9/11/2023,1.70625
31.7,0,19.95,9/12/2023,1.876666667
31.9,0.5,18.92,9/13/2023,1.568333333
32.4,0.5,18.85,9/14/2023,1.700416667
30.9,8.4,16.22,9/15/2023,1.26375
30.3,0,19.17,9/16/2023,1.264583333
28.4,0.3,17.01,9/17/2023,0.903333333
27.2,20,15.71,9/18/2023,0.694583333
27.3,21,17.27,9/19/2023,0.770416667
28.7,0,18.41,9/20/2023,0.914166667
29.5,0.1,18.32,9/21/2023,1.040416667
28.9,2.4,16.65,9/22/2023,0.920416667
27.1,20.5,13.59,9/23/2023,0.619166667
27.2,8,18.3,9/24/2023,0.747083333
26.7,0,17.59,9/25/2023,0.771666667
27.3,0,18.89,9/26/2023,1.02625
27.8,0,19.34,9/27/2023,1.392083333
27.8,0,18.87,9/28/2023,1.46875
27.3,0,18.69,9/29/2023,1.41375
25.6,0,18.72,9/30/2023,1.221666667
25.9,0,19.2,10/1/2023,1.54125
25.9,0,18.8,10/2/2023,1.791666667
26.6,0,18.64,10/3/2023,1.65125
25.8,0,18.53,10/4/2023,1.520416667
27.2,0,18.46,10/5/2023,1.86875
26.5,0,18.28,10/6/2023,1.570416667
27.9,0,17.27,10/7/2023,1.4125
28.4,0,17.01,10/8/2023,1.228333333
27.9,0,16.59,10/9/2023,1.3925
25.2,0,17.12,10/10/2023,1.135833333
24.6,0,17.41,10/11/2023,1.232083333
25.1,0,17.02,10/12/2023,1.297083333
26.1,0,16.52,10/13/2023,1.364583333
25.1,1.4,15.81,10/14/2023,1.113333333
23.5,6.1,16.16,10/15/2023,1.01
21.5,6.8,11.83,10/16/2023,0.647083333
20.4,5.4,13.53,10/17/2023,0.61375
19.6,0,15.93,10/18/2023,0.711666667
21.3,0,15.76,10/19/2023,0.970833333
22,0,15.79,10/20/2023,1.0625
21.6,0,10.43,10/21/2023,0.93375
21.5,0.9,10.8,10/22/2023,0.609166667
22.2,0,14.19,10/23/2023,0.9125
22.8,0,14.5,10/24/2023,1.09125
22.6,0,15.07,10/25/2023,1.081666667
23.4,0,15.01,10/26/2023,1.252916667
23.2,0,14.58,10/27/2023,1.137083333
23.1,0,13.35,10/28/2023,1.088333333
23.6,0,14.21,10/29/2023,1.13625
23.6,0.2,13.56,10/30/2023,1.062083333
23.4,0,13.74,10/31/2023,1.07125
22.7,0.1,13.4,11/1/2023,0.835
21.5,9.7,12.55,11/2/2023,0.594166667
21.7,0,13.04,11/3/2023,0.904166667
22.8,0,13.77,11/4/2023,1.204166667
22.3,0,13.78,11/5/2023,1.17375
21.4,0,12,11/6/2023,1.014583333
22,0.8,12.6,11/7/2023,0.92
20.3,2.9,11.74,11/8/2023,0.650416667
20.6,0.1,12.12,11/9/2023,0.778333333
17.9,8.1,9.77,11/10/2023,0.3525
17.7,0,12.52,11/11/2023,0.494166667
18.1,0,12.74,11/12/2023,0.615833333
18.3,0,12.63,11/13/2023,0.59875
18.4,0,12.41,11/14/2023,0.57875
19.2,0,12.54,11/15/2023,0.81125
19,0,11.33,11/16/2023,0.775416667
18.6,0,12.05,11/17/2023,0.660833333
18.1,0,11.87,11/18/2023,0.666666667
18.4,0,11.92,11/19/2023,0.787916667
18.4,0,11.67,11/20/2023,0.824583333
17.6,0,12,11/21/2023,0.83
17.2,0,12.13,11/22/2023,0.76125
16.9,0,11.86,11/23/2023,0.70875
16.9,0,11.58,11/24/2023,0.557083333
16.8,0,9.56,11/25/2023,0.600833333
17.2,0,8.22,11/26/2023,0.512916667
17.3,0.1,6.17,11/27/2023,0.459583333
17.8,0,10.81,11/28/2023,0.578333333
18.5,0,10.94,11/29/2023,0.58875
16.9,11.7,10.41,11/30/2023,0.393333333
15.8,0,10.5,12/1/2023,0.37375
16.1,0,11.2,12/2/2023,0.507916667
16.5,0,11.09,12/3/2023,0.54375
16.2,0,10.63,12/4/2023,0.509166667
15.4,0,10.9,12/5/2023,0.37875
15.1,0,11.22,12/6/2023,0.494583333
15.5,0,11.21,12/7/2023,0.5825
16.2,0,11.25,12/8/2023,0.62375
15.3,0,11.12,12/9/2023,0.572916667
14.9,0,11.36,12/10/2023,0.66125
14.5,0,11.2,12/11/2023,0.551666667
14.1,0,10.86,12/12/2023,0.4975
13.6,0,10.96,12/13/2023,0.442916667
13.9,0,10.04,12/14/2023,0.482083333
14,0,10.09,12/15/2023,0.485416667
13.4,0,10.13,12/16/2023,0.463333333
13.1,0,10.78,12/17/2023,0.403333333
13.5,0,11.17,12/18/2023,0.601666667
13.3,0,11.3,12/19/2023,0.535
13.3,0,11.28,12/20/2023,0.496666667
13.2,0,11.29,12/21/2023,0.515416667
13,0,9.7,12/22/2023,0.365
14.7,0,10.22,12/23/2023,0.343333333
13.9,0,9.24,12/24/2023,0.332916667
14.4,0,11.01,12/25/2023,0.429166667
15.1,0,10.44,12/26/2023,0.472916667
14.1,0,11.02,12/27/2023,0.359166667
12.9,0,9.87,12/28/2023,0.19875
11.6,0,7.95,12/29/2023,0.12125
10.5,0,7.59,12/30/2023,0.140416667
9.5,0,9.05,12/31/2023,0.153333333
9.9,0,8.73,1/1/2024,0.147916667
8.9,0,8.06,1/2/2024,0.157083333
7.9,0,8.84,1/3/2024,0.130833333
8.4,0,10.22,1/4/2024,0.190833333
8,0,9.1,1/5/2024,0.140833333
7.7,0,9.17,1/6/2024,0.112083333
7.3,0,8.64,1/7/2024,0.100416667
7.5,0,10.12,1/8/2024,0.14625
8.1,0.7,9.69,1/9/2024,0.135833333
8,0,10.01,1/10/2024,0.1275
8.3,0,9.68,1/11/2024,0.123333333
8,0,6.24,1/12/2024,0.088333333
8.6,0,10.13,1/13/2024,0.125
8,0,9.13,1/14/2024,0.109166667
7.2,0,8.81,1/15/2024,0.087083333
6.8,0,10.27,1/16/2024,0.109583333
7.9,0,8.99,1/17/2024,0.124166667
8.4,0,9.73,1/18/2024,0.120416667
7.9,0,9.2,1/19/2024,0.100416667
8.1,0,10.18,1/20/2024,0.123333333
7.6,0,11.35,1/21/2024,0.129583333
6.9,0,9.18,1/22/2024,0.108333333
8.4,0,12.35,1/23/2024,0.160416667
8.1,0,10.9,1/24/2024,0.130833333
8.3,0,7.66,1/25/2024,0.109583333
10.5,0,12.97,1/26/2024,0.229583333
11.5,0,12.83,1/27/2024,0.32375
12.4,0,12,1/28/2024,0.3225
12.5,0,13.18,1/29/2024,0.25125
13.8,0.2,12.93,1/30/2024,0.324166667
14.7,1.4,10.49,1/31/2024,0.245
13.9,7.7,13.42,2/1/2024,0.30625
12.1,0,11.93,2/2/2024,0.261666667
13.2,3.2,9.13,2/3/2024,0.497916667
12.5,4.9,9.89,2/4/2024,0.279583333
11.5,0,13.2,2/5/2024,0.335
12.6,0,14.68,2/6/2024,0.574583333
11.6,0,13.23,2/7/2024,0.53375
13.2,0,15.58,2/8/2024,0.725
13.4,0,15.48,2/9/2024,0.567916667
14,0,15.45,2/10/2024,0.63625
15.4,0,15.65,2/11/2024,0.766666667
14.8,0,13.05,2/12/2024,0.662083333
14.7,0,15.82,2/13/2024,0.596666667
15,0,15.98,2/14/2024,0.729166667
15,0,16.49,2/15/2024,0.79125
15.3,0,16.59,2/16/2024,0.81
17.2,0,16.36,2/17/2024,0.887083333
17.4,0,12.03,2/18/2024,0.6925
19.4,0.7,14.38,2/19/2024,0.926666667
16.5,0,16.61,2/20/2024,0.582916667
14.4,0.5,14.21,2/21/2024,0.541666667
14.2,0,17.06,2/22/2024,0.857916667
14.6,0,17.48,2/23/2024,1.021666667
14.2,0.1,16.79,2/24/2024,0.922916667
14.3,0,15.96,2/25/2024,0.97125
15.3,0,14.61,2/26/2024,1.041666667
16.6,0,9.82,2/27/2024,0.955
16.7,0,18.01,2/28/2024,1.01625
17.6,0.9,16.15,2/29/2024,1.01625
17.8,2.2,7.57,3/1/2024,0.676666667
18.2,2.1,14.69,3/2/2024,0.755833333
12.8,0,19.51,3/3/2024,0.960833333
12.3,0,18.79,3/4/2024,0.865
13.6,0,15.67,3/5/2024,0.941666667
14.5,0,19.52,3/6/2024,1.0125
16.6,1.8,17.96,3/7/2024,0.98375
17.2,0,19.69,3/8/2024,1.159166667
18,0,20.24,3/9/2024,1.397916667
19.7,0,17.5,3/10/2024,1.553333333
18.8,1.5,13.82,3/11/2024,1.180416667
19.7,0,19.96,3/12/2024,1.356666667
17.7,0.5,10.6,3/13/2024,0.805833333
19.3,0,19,3/14/2024,1.180833333
19.3,0,21.32,3/15/2024,1.466666667
21,0,21.15,3/16/2024,1.882083333
22,0,18.51,3/17/2024,1.929166667
22.1,0,21.09,3/18/2024,1.915416667
22.9,0,20.74,3/19/2024,2.022916667
23.7,0,21.47,3/20/2024,2.0575
24.4,0.4,19.72,3/21/2024,1.832916667
24.1,0.2,19.53,3/22/2024,1.400833333
24.5,0,21,3/23/2024,1.76875
23.4,4,17.67,3/24/2024,1.332083333
24.2,0,21.7,3/25/2024,1.684166667
24.6,2.4,15.22,3/26/2024,1.6275
24,2.2,14.14,3/27/2024,1.04375
23.9,0,11.71,3/28/2024,1.24125
25,0,20.41,3/29/2024,1.551666667
23.3,2.2,19.19,3/30/2024,1.18
22.1,0,21.26,3/31/2024,1.240416667
22.4,0,22.38,4/1/2024,1.574166667
23.3,0,22.94,4/2/2024,1.808333333
24.4,0,22.26,4/3/2024,2.0825
25.3,0,22.05,4/4/2024,2.285833333
25.2,0,22.71,4/5/2024,2.3325
24.9,0,23.62,4/6/2024,2.42
26.6,0,22.91,4/7/2024,2.757916667
26.5,0,23.71,4/8/2024,2.738333333
26.8,0,22.59,4/9/2024,2.853333333
26.8,0,20.8,4/10/2024,2.7625
27.7,0,23.34,4/11/2024,2.770416667
28.1,0,22.9,4/12/2024,2.889583333
25.6,0.2,12.06,4/13/2024,1.94375
23.7,1.3,17.15,4/14/2024,1.178333333
23.5,10.3,16.78,4/15/2024,0.908333333
24.1,0,23.5,4/16/2024,1.2725
25.4,0,23.33,4/17/2024,1.993333333
27.3,0,20.56,4/18/2024,2.24375
25.9,3.1,20.06,4/19/2024,1.685
24.9,0,22.98,4/20/2024,1.574583333
26.4,0,22.89,4/21/2024,2.187916667
26.9,0,21.2,4/22/2024,2.37875
26.7,0,22.78,4/23/2024,2.409166667
27.4,0,23.53,4/24/2024,2.589166667
29.7,0,23.87,4/25/2024,3.374583333
29.4,0.8,20.01,4/26/2024,2.985
27,0.5,20.66,4/27/2024,2.205833333
27.9,1.1,21.29,4/28/2024,2.589583333
25.4,1.1,18.87,4/29/2024,1.935416667
24,0.1,24.04,4/30/2024,1.889583333
23.3,0,24.36,5/1/2024,1.951666667
26.1,0,24.92,5/2/2024,2.670416667
29.2,0,19.23,5/3/2024,3.210833333
30.3,0,20.9,5/4/2024,3.173333333
30.9,0,23.55,5/5/2024,3.277916667
31.8,0,23.76,5/6/2024,3.7125
32.7,0,24.47,5/7/2024,4.045833333
33.8,0,24.66,5/8/2024,4.425833333
33,0,23.82,5/9/2024,3.8675
32.3,4,21.65,5/10/2024,3.37625
31.2,0,21.56,5/11/2024,2.912916667
30.1,0.9,21.59,5/12/2024,2.62125
30.7,0,23.13,5/13/2024,3.277916667
31.5,0,23.66,5/14/2024,3.627916667
31.8,0,21.28,5/15/2024,3.557083333
33.4,0,23.09,5/16/2024,4.067916667
33.2,0,20.88,5/17/2024,3.790416667
34.3,0,22.87,5/18/2024,4.25125
34.1,0,21,5/19/2024,4.10125
34.6,0,23.54,5/20/2024,4.49375
34.3,0,23.77,5/21/2024,4.302083333
34.8,0,24.2,5/22/2024,4.442083333
34.1,0,22.63,5/23/2024,3.769583333
34.4,0,22.08,5/24/2024,3.728333333
34.8,0,23.94,5/25/2024,4.341666667
36.1,0,23.82,5/26/2024,4.54875
36.5,0,24.72,5/27/2024,5.082083333
36.2,0,24.95,5/28/2024,5.243333333
36.4,0,24.17,5/29/2024,5.378333333
35.9,0,24.97,5/30/2024,5.265833333
35.8,0,21.87,5/31/2024,5.255833333
35.8,0,20.97,6/1/2024,5.095833333
36.1,0,23,6/2/2024,4.904166667
36.7,0,22.31,6/3/2024,5.302083333
36.6,0,22.83,6/4/2024,5.043333333
33,1.2,17.14,6/5/2024,3.487083333
32.1,0.9,20.63,6/6/2024,3.083333333
31.7,0,21,6/7/2024,2.93875
32,0,18.58,6/8/2024,3.2575
32.9,0,23.67,6/9/2024,3.691666667
33.4,0,23.6,6/10/2024,3.932083333
34.4,0,23.45,6/11/2024,4.275416667
35.2,0,23.16,6/12/2024,4.576666667
34.9,0,22.42,6/13/2024,4.08375
35.1,0,20.83,6/14/2024,4.128333333
35.3,0,21.39,6/15/2024,3.992916667
36.5,0,22.31,6/16/2024,4.199166667
36.5,0,22.61,6/17/2024,4.079583333
35.7,0,21.75,6/18/2024,3.657083333
34.9,0.9,19.76,6/19/2024,3.259583333
32.3,3.9,15.46,6/20/2024,2.430416667
30.3,0.2,19.64,6/21/2024,1.71
31.4,0,21.79,6/22/2024,2.243333333
32.5,0,22.95,6/23/2024,2.734583333
33.9,0,22.66,6/24/2024,3.340416667
33.5,0,22.45,6/25/2024,2.64
34.7,0,19.95,6/26/2024,2.85625
32.4,0,18.5,6/27/2024,1.77875
32.8,0,21.69,6/28/2024,2.090416667
33.2,0,21.8,6/29/2024,2.20375
33.4,0,22.08,6/30/2024,2.090833333
33.6,0,21.35,7/1/2024,2.045
33.8,1.8,22.25,7/2/2024,2.015
33.5,2.3,21.31,7/3/2024,1.796666667
30.6,1.4,18.77,7/4/2024,1.134583333
31.1,0.8,20.52,7/5/2024,1.301666667
29,17.9,12.55,7/6/2024,0.821666667
27.9,17.3,13.85,7/7/2024,0.677083333
30.4,0,19.71,7/8/2024,1.241666667
31.2,0,22.41,7/9/2024,1.422083333
32,0,21.5,7/10/2024,1.407916667
32.6,0,21.68,7/11/2024,1.500833333
29.9,7.6,18.3,7/12/2024,1.08875
29.4,1.1,22.02,7/13/2024,1.1175
30.1,0.7,20.68,7/14/2024,1.150833333
31.9,0,22.86,7/15/2024,1.646666667
32.1,0,21.79,7/16/2024,1.486666667
32.8,0.2,21.31,7/17/2024,1.544583333
32.3,0,21.15,7/18/2024,1.435833333
32.9,0,21.93,7/19/2024,1.706666667
33.1,0,21.67,7/20/2024,1.699583333
33.3,0,21.76,7/21/2024,1.768333333
33.6,0,21.53,7/22/2024,1.817916667
32.6,0,22.56,7/23/2024,1.68625
32.3,3.1,21.19,7/24/2024,1.487916667
31.8,9.3,21.14,7/25/2024,1.425
32.7,0.1,20.9,7/26/2024,1.6325
33,1,21.29,7/27/2024,1.53125
33,0.2,18.96,7/28/2024,1.494166667
31,38.5,9.96,7/29/2024,0.988333333
32.9,0,20.62,7/30/2024,1.544166667
33,13.1,19.95,7/31/2024,1.53
27.3,46.3,2.81,8/1/2024,0.301666667
29.6,4.5,20.91,8/2/2024,0.85875
30,6.2,19.16,8/3/2024,0.8875
29.7,12.1,16.58,8/4/2024,0.859166667
30.9,0,20.19,8/5/2024,1.227083333
31,0.1,21.94,8/6/2024,1.345416667
30.3,2,19.27,8/7/2024,1.042083333
29.8,0.2,17.15,8/8/2024,0.990416667
29.8,3.6,19.6,8/9/2024,0.918333333
29.5,9.3,17.51,8/10/2024,0.804583333
28.9,10.5,13.87,8/11/2024,0.71125
28.7,0.7,16.01,8/12/2024,0.776666667
30,0.4,20.61,8/13/2024,1.0275
31,0,21.16,8/14/2024,1.259166667
30.2,5.5,13.08,8/15/2024,0.91
29.8,23.4,19.12,8/16/2024,0.849583333
27.8,15.4,10.26,8/17/2024,0.55625
29.4,0.5,19.71,8/18/2024,0.860833333
29.6,2,17.32,8/19/2024,0.890416667
29.3,2.6,19.88,8/20/2024,0.892916667
28.9,8.3,20.68,8/21/2024,0.859166667
29.9,0,21.24,8/22/2024,0.953333333
29.7,3.7,21.23,8/23/2024,1.072916667
29.9,4.4,21.27,8/24/2024,1.068333333
30,0,20.53,8/25/2024,1.024583333
30.4,0,19.77,8/26/2024,1.175833333
28.6,4.8,14.95,8/27/2024,0.860416667
26.5,30.4,9.87,8/28/2024,0.417916667
26.5,15.5,12.68,8/29/2024,0.429166667
27.4,8.9,15.38,8/30/2024,0.590416667
28.7,0,20.86,8/31/2024,0.887916667
30,0,20.38,9/1/2024,1.091666667
28.7,9.2,18.23,9/2/2024,0.765833333
27.2,16.8,14.52,9/3/2024,0.5175
27.9,0.5,19.37,9/4/2024,0.705416667
27.7,3.2,19.75,9/5/2024,0.73375
28.7,1.1,19.63,9/6/2024,0.868333333
28.1,2.5,19.71,9/7/2024,0.81625
28.8,0,20.43,9/8/2024,1.020416667
29.7,0,20.24,9/9/2024,1.245
29.2,0,19.5,9/10/2024,1.03125
29.3,0,20.07,9/11/2024,1.010416667
30.5,0,20.76,9/12/2024,1.482083333
29.9,0,20.76,9/13/2024,1.401666667
29.3,0.7,20,9/14/2024,1.37625
29.1,0,20.05,9/15/2024,1.538333333
29.6,0,20.55,9/16/2024,1.730833333
29.6,0,20.22,9/17/2024,1.685833333
29.6,0,19.49,9/18/2024,1.657083333
27.6,0.3,13.68,9/19/2024,1.103333333
28.7,0,19.62,9/20/2024,1.399166667
29.5,0,19.46,9/21/2024,1.645416667
30.3,0,18.91,9/22/2024,1.63
31,0,18.7,9/23/2024,1.725
31.4,0,19.04,9/24/2024,1.86375
31,0,17.62,9/25/2024,1.657083333
30,1.2,16.79,9/26/2024,1.26125
29.5,0,17.68,9/27/2024,1.251666667
28.4,2.5,17.38,9/28/2024,1.0775
28.5,0.5,17.58,9/29/2024,1.165416667
29,0,17.86,9/30/2024,1.22375
30.2,0,18.14,10/1/2024,1.50875
29.9,0,18.22,10/2/2024,1.74
29.2,0,18.37,10/3/2024,1.660833333
28.7,0,18.06,10/4/2024,1.744166667
27.5,6.6,16.24,10/5/2024,1.494583333
25.9,1.5,15.31,10/6/2024,1.10875
26.4,0,17.23,10/7/2024,1.182083333
24.9,9.8,13.1,10/8/2024,0.75875
25.4,0,16.75,10/9/2024,1.194166667
25.9,0,17.01,10/10/2024,1.465416667
26.2,0,17.04,10/11/2024,1.507083333
25.9,0,16.86,10/12/2024,1.456666667
25.7,0,16.74,10/13/2024,1.468333333
25.3,0,16.48,10/14/2024,1.5225
25.6,0,16.51,10/15/2024,1.6025
25.2,0,15.96,10/16/2024,1.45875
25.8,0,16.18,10/17/2024,1.5825
25.8,0,15.87,10/18/2024,1.490416667
26.2,0,15.72,10/19/2024,1.47625
25.7,0,15.53,10/20/2024,1.333333333
25.3,0,15.42,10/21/2024,1.314583333
25.2,0,14.95,10/22/2024,1.240833333
25.5,0,14.81,10/23/2024,1.330416667
25.2,0,14.76,10/24/2024,1.264166667
25.4,0,14.91,10/25/2024,1.27125
25.6,0,14.61,10/26/2024,1.239166667
25.6,0,14.44,10/27/2024,1.165416667
25.5,0,14.38,10/28/2024,1.265833333
26.5,0,14.05,10/29/2024,1.392916667
25.8,0,13.92,10/30/2024,1.26625
24.7,0,14.17,10/31/2024,1.34125
24.2,0,14.41,11/1/2024,1.566666667
23.3,0,14.12,11/2/2024,1.35625
23.1,0,13.77,11/3/2024,1.315416667
23,0,13.52,11/4/2024,1.1025
23.2,0,13.17,11/5/2024,1.0175
23.1,0,13.07,11/6/2024,0.959166667
23.3,0,13.02,11/7/2024,0.895833333
23.4,0,12.7,11/8/2024,0.789166667
23.2,0,12.54,11/9/2024,0.733333333
22.8,0,12.39,11/10/2024,0.715833333
22.3,0,12.11,11/11/2024,0.72375
21.2,0,12.45,11/12/2024,0.568333333
21,0,11.82,11/13/2024,0.523333333
21,0,11.26,11/14/2024,0.679166667
20.2,0,11.72,11/15/2024,0.620833333
19.7,0,11.64,11/16/2024,0.625833333
18.4,0,10.23,11/17/2024,0.447083333
18,0,12.36,11/18/2024,0.77875
17.8,0,12.22,11/19/2024,0.78
17.4,0,12.21,11/20/2024,0.674166667
18.2,0,11.93,11/21/2024,0.751666667
17.8,0,11.7,11/22/2024,0.695833333
18.2,0,11.26,11/23/2024,0.796666667
18.1,0,11.51,11/24/2024,0.6225
17.6,0,11.64,11/25/2024,0.709166667
17.4,0,11.65,11/26/2024,0.666666667
17.1,0,11.68,11/27/2024,0.709166667
17.1,0,11.51,11/28/2024,0.670833333
17.2,0,11.01,11/29/2024,0.630416667
17.3,0.2,10.87,11/30/2024,0.564166667
17.5,0,11.18,12/1/2024,0.604166667
17.9,0,10.88,12/2/2024,0.705
18.3,2,10.2,12/3/2024,0.734166667
16.6,0,11.57,12/4/2024,0.919166667
15.5,0,11.71,12/5/2024,0.94125
14.9,0,11.64,12/6/2024,0.86875
13.9,0,11.58,12/7/2024,0.63875
12,5.8,6.73,12/8/2024,0.434166667
12.2,0,11.12,12/9/2024,0.5675
11.8,0,11.42,12/10/2024,0.7
12.1,0,11.18,12/11/2024,0.659583333
11.9,0,11.15,12/12/2024,0.605
12.3,0,11.47,12/13/2024,0.77
12.1,0,11.49,12/14/2024,0.689166667
12.2,0,11.26,12/15/2024,0.5325
11.5,0,11.58,12/16/2024,0.465416667
11.4,0,11.35,12/17/2024,0.475
12,0,11.29,12/18/2024,0.500416667
11.2,0,11.28,12/19/2024,0.412083333
11.3,0,11.13,12/20/2024,0.41
11.1,0,11.29,12/21/2024,0.42125
12,0,11.32,12/22/2024,0.42125
11.5,8.9,2.93,12/23/2024,0.167083333
11.7,0,11.03,12/24/2024,0.390416667
12.3,0,11.12,12/25/2024,0.460833333
12.9,0,11.01,12/26/2024,0.494583333
12.6,0.3,5.14,12/27/2024,0.3075
11.5,0,9.46,12/28/2024,0.2025
11.1,0,9.85,12/29/2024,0.208333333
11.1,0,11.23,12/30/2024,0.2875
10.4,0,10.11,12/31/2024,0.165833333
10.2,0,9.25,1/1/2025,0.14375
11.4,0,9.22,1/2/2025,0.21
11.4,0,10.14,1/3/2025,0.169583333
11.7,0,9.91,1/4/2025,0.184583333
12.3,1.7,9.08,1/5/2025,0.143333333
11.7,0,9,1/6/2025,0.177916667
11.5,0,11.9,1/7/2025,0.4425
11.5,0,12.02,1/8/2025,0.405833333
11.5,0,12.01,1/9/2025,0.289583333
9,0,9.47,1/10/2025,0.092916667
10.5,5.4,4.62,1/11/2025,0.107916667
12.5,0.1,10,1/12/2025,0.24875
11.5,0,12.13,1/13/2025,0.307916667
11.9,0,12.46,1/14/2025,0.390833333
11.3,0,12.16,1/15/2025,0.325833333
10.9,0,11.97,1/16/2025,0.2725
10.8,0,11.33,1/17/2025,0.211666667
11.6,0,10.03,1/18/2025,0.261666667
10.7,0,7.52,1/19/2025,0.164583333
13.1,0,12.37,1/20/2025,0.433333333
12.9,0,12.69,1/21/2025,0.470416667
13.8,0,12.92,1/22/2025,0.474583333
13.8,0,12.95,1/23/2025,0.58625
13,0,13.78,1/24/2025,0.777916667
12.1,0,14.06,1/25/2025,0.61
12.2,0,14.26,1/26/2025,0.562916667
12.6,0,14.28,1/27/2025,0.56125
12.6,0,14.24,1/28/2025,0.495
13.9,0,13.61,1/29/2025,0.490416667
14.9,0,13.86,1/30/2025,0.474166667
14.8,0,13.18,1/31/2025,0.515
14,0,13.68,2/1/2025,0.46375
13.2,0,13.46,2/2/2025,0.45125
12.8,0,14.9,2/3/2025,0.48625
13.9,0,14.41,2/4/2025,0.659166667
12.4,0,13.78,2/5/2025,0.427916667
12.9,0,14.92,2/6/2025,0.637083333
13.6,0,15.17,2/7/2025,0.802083333
15.2,0,14.58,2/8/2025,0.83
15.7,0,15.23,2/9/2025,0.663333333
15.7,0,15.2,2/10/2025,0.615
15.9,0,14.87,2/11/2025,0.68
15.6,0,15.86,2/12/2025,0.793333333
15.6,0,15.62,2/13/2025,0.864166667
15.7,0,16.03,2/14/2025,0.777083333
17.1,1.6,15.16,2/15/2025,0.780833333
16.9,0,13.11,2/16/2025,0.609583333
17.2,0,16.33,2/17/2025,0.7275
17.6,0,16.62,2/18/2025,0.887083333
17.1,0.7,13.45,2/19/2025,0.679583333
14.5,12.9,10.83,2/20/2025,0.230416667
13.5,0,16.83,2/21/2025,0.304166667
16,0.3,16.92,2/22/2025,0.6025
16.8,0,17.4,2/23/2025,0.808333333
17.4,0,17.33,2/24/2025,0.816666667
17.3,3.1,10.43,2/25/2025,0.5175
20.2,0,13.69,2/26/2025,0.64375
18.1,11.2,6.57,2/27/2025,0.248333333
17.3,11.5,13.13,2/28/2025,0.284166667
15.9,0,16.1,3/1/2025,0.304583333
16.2,0,18.97,3/2/2025,0.69125
15.7,4.6,15.21,3/3/2025,0.47625
14.5,0,18.25,3/4/2025,0.51625
15.6,0,19.74,3/5/2025,0.94
16.7,0,19.57,3/6/2025,0.806666667
17.9,0,19.08,3/7/2025,0.82125
20.1,0,19.54,3/8/2025,1.205833333
20.3,0,19.54,3/9/2025,1.103333333
22.2,0,18.21,3/10/2025,1.120833333
21.6,0.4,13.06,3/11/2025,1.040833333
21.7,0,19.3,3/12/2025,1.095833333
21.3,0.1,17.77,3/13/2025,1.07375
19.7,5,13.8,3/14/2025,0.85875
18.6,2,15.91,3/15/2025,0.5275
18.9,0.1,17.98,3/16/2025,0.7775
20,0,20.06,3/17/2025,1.115833333
21.4,0,20.77,3/18/2025,1.37875
21.6,2.1,16.5,3/19/2025,1.174583333
21.8,0,20.55,3/20/2025,1.468333333
22.5,0,20.14,3/21/2025,1.612083333
22.6,0,21.92,3/22/2025,1.565416667
22,0,21.83,3/23/2025,1.396666667
22.5,0,21.63,3/24/2025,1.478333333
24.3,0,19.61,3/25/2025,1.565
25.5,0,14.7,3/26/2025,1.705
24.6,0,22.4,3/27/2025,1.97125
20.4,0,23.57,3/28/2025,1.93875
20.9,0,23.4,3/29/2025,1.989583333
22.7,0,23.32,3/30/2025,2.2275
24.4,0,23.2,3/31/2025,2.436666667
24.5,0,23.23,4/1/2025,2.415
24.3,0,22.73,4/2/2025,2.244166667
25.1,0,20.95,4/3/2025,2.430416667
25.5,0,22.96,4/4/2025,2.470416667
26.4,0,23.32,4/5/2025,2.652083333
28.4,0,23.04,4/6/2025,2.787916667
29.6,0,22.56,4/7/2025,2.94875
30.7,0,20.5,4/8/2025,3.2
30.4,0.1,20.87,4/9/2025,3.063333333
29.5,0,18.93,4/10/2025,2.73
26.6,3.1,19.27,4/11/2025,1.854583333
26.6,0,21.74,4/12/2025,2.03
27.4,0,23.37,4/13/2025,2.33625
29.2,0,23.39,4/14/2025,2.705833333
30.5,0,23.12,4/15/2025,2.926666667
31.1,0,22.41,4/16/2025,3.152083333
30.9,0,23.57,4/17/2025,2.934166667
30.5,0.3,20.46,4/18/2025,2.721666667
31.4,0,22.84,4/19/2025,3.398333333
30.6,0,24.4,4/20/2025,3.3375
29.2,0,24.92,4/21/2025,3.244583333
30.2,0,24.75,4/22/2025,3.617916667
30.7,0,25.12,4/23/2025,4.155416667
30.8,0,23.67,4/24/2025,4.042083333
31.5,0,24.33,4/25/2025,4.27
31.8,0,24.09,4/26/2025,4.3375
32.4,0,24.95,4/27/2025,4.465833333
33.3,0,25.03,4/28/2025,4.77375
32.4,0,24.42,4/29/2025,4.08625
33,0,22.56,4/30/2025,4.152916667
